Nome	Total de Leads	Total de Leads Qualificados	Leads Qualificados no período	Eficiência
form-trial-experimente-o-octadesk	1325	1169	1169	0.8822641509433963
lp-cxtrends-2017	3218	667	667	0.20727159726538222
form-trial-experimente-o-octadesk-email	1120	468	468	0.41785714285714287
planilha-chamados-de-atendimento	1146	243	243	0.21204188481675393
site-exit-intent-consulting	237	214	214	0.9029535864978903
site-modal-cotacao-ocean	205	192	192	0.9365853658536586
planilha-de-atendimento-ao-cliente	785	191	191	0.24331210191082803
lp-planilha-cadastro-de-clientes	625	191	191	0.3056
kit-planejamento-treasy	4397	159	159	0.03616101887650671
lp-jornada-do-cliente-agendor	740	157	157	0.21216216216216216
typage-planilha-controle-de-chamados	151	140	140	0.9271523178807947
lp-manual-rapido-nps	938	134	134	0.14285714285714285
como-melhorar-a-qualidade-no-atendimento-ao-cliente	672	118	118	0.17559523809523808
site-contato	131	118	118	0.9007633587786259
site-contato-footer	139	117	117	0.841726618705036
typage-planilha-de-cadastro-de-clientes	115	111	111	0.9652173913043478
lp-fidelizar-clientes-e-melhorar-sua-empresa	598	100	100	0.16722408026755853
blog-arrival-popup-ebook-17-dicas	482	97	97	0.2012448132780083
checklist-de-atendimento-ao-cliente	693	97	97	0.13997113997113997
site-modal-demo-home	121	93	93	0.768595041322314
typage-planilha-atendimento	97	91	91	0.9381443298969072
lp-ad-atendimento-online	93	91	91	0.978494623655914
lp-infografico-satisfacao-do-cliente	228	77	77	0.33771929824561403
lp-ad-sistema-chamados	75	72	72	0.96
mini-form-contato-footer	117	69	69	0.5897435897435898
typage-ebook-dicas-qualidade	72	66	66	0.9166666666666666
lp-gestao-de-pessoas-atendimento-cliente	474	66	66	0.13924050632911392
jornada-do-cliente-agendor	1005	61	61	0.06069651741293532
lp-consultoria-gratuita-octadesk	66	59	59	0.8939393939393939
site-materiais-apresentacao-helpdesk-octadesk	124	59	59	0.47580645161290325
lp-ad-sistema-atendimento-cliente	59	56	56	0.9491525423728814
site-materiais-kitfix	91	55	55	0.6043956043956044
base-treasy	2092	54	54	0.02581261950286807
site-modal-demo-suporte	60	52	52	0.8666666666666667
site-modal-consultores-casos-de-sucesso	68	51	51	0.75
solicitar-contato-popup	76	50	50	0.6578947368421053
blog-exit-intent-ebook-do-inferno-ao-ceu	196	50	50	0.25510204081632654
lincoln-murphy-customer-success	266	49	49	0.18421052631578946
lp-ad-help-desk	49	45	45	0.9183673469387755
lp-ad-controle-clientes	42	41	41	0.9761904761904762
planilha-de-help-desk	385	41	41	0.10649350649350649
home	57	41	41	0.7192982456140351
gestao-atendimento-ao-cliente-erp	285	39	39	0.1368421052631579
lp-demo-gratis-octadesk	43	36	36	0.8372093023255814
typage-planilha-atendimento-b	34	31	31	0.9117647058823529
site-materiais-ebook-fidelizar-clientes	135	31	31	0.22962962962962963
lp-ad-gerenciador-contatos	32	30	30	0.9375
site-materiais-planilha-atendimento-octadesk	139	28	28	0.2014388489208633
IntegracaoExact	4850	26	26	0.0053608247422680414
hubspot	6726	26	26	0.003865596193874517
